2022-05-05 17:07:55.155 [main] INFO  com.gkdz.server.StartApplication - Starting StartApplication on DESKTOP-NH42ST6 with PID 12268 (D:\project\industrial-park-server\target\classes started by 14651935 in D:\project\industrial-park-server)
2022-05-05 17:07:55.157 [main] INFO  com.gkdz.server.StartApplication - The following profiles are active: dev
2022-05-05 17:07:55.738 [background-preinit] WARN  o.s.h.converter.json.Jackson2ObjectMapperBuilder - For Jackson Kotlin classes support please add "com.fasterxml.jackson.module:jackson-module-kotlin" to the classpath
2022-05-05 17:07:58.855 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2022-05-05 17:07:58.857 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2022-05-05 17:07:58.885 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 18ms. Found 0 Redis repository interfaces.
2022-05-05 17:07:59.116 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'shiroConfig' of type [com.gkdz.server.config.ShiroConfig$$EnhancerBySpringCGLIB$$c63940ea] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-05-05 17:07:59.276 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'mybatis-plus-com.baomidou.mybatisplus.autoconfigure.MybatisPlusProperties' of type [com.baomidou.mybatisplus.autoconfigure.MybatisPlusProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-05-05 17:07:59.282 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'mybatisPlusConfig' of type [com.gkdz.server.config.MybatisPlusConfig$$EnhancerBySpringCGLIB$$a0ea3986] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-05-05 17:07:59.290 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'mybatisPlusInterceptor' of type [com.baomidou.mybatisplus.extension.plugins.MybatisPlusInterceptor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-05-05 17:07:59.297 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'com.baomidou.mybatisplus.autoconfigure.MybatisPlusAutoConfiguration' of type [com.baomidou.mybatisplus.autoconfigure.MybatisPlusAutoConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-05-05 17:07:59.299 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'dynamic-com.gkdz.server.datasource.properties.DynamicDataSourceProperties' of type [com.gkdz.server.datasource.properties.DynamicDataSourceProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-05-05 17:07:59.301 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'dynamicDataSourceConfig' of type [com.gkdz.server.datasource.config.DynamicDataSourceConfig$$EnhancerBySpringCGLIB$$b550ed3e] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-05-05 17:07:59.308 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'dataSourceProperties' of type [com.gkdz.server.datasource.properties.DataSourceProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-05-05 17:08:01.677 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2022-05-05 17:08:01.678 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'dynamicDataSource' of type [com.gkdz.server.datasource.config.DynamicDataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-05-05 17:08:01.684 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'myMetaObjectHandler' of type [com.gkdz.server.config.MyMetaObjectHandler] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
